,title,description,score
876,Демиурги,"Четыре расы волшебников, адептов четырех магических сфер, сталкиваются в жестоком противоборстве за обладание миром. Культовая игра “Демиурги”, созданная компанией Nival, стала мировым бестселлером и заслужила высочайшие оценки критиков из ведущих изданий.— Steam",4.0
877,Hacknet,"Hacknet — увлекательный хакерский симулятор с интерфейсом компьютерного терминала. Следуйте указаниям покойного хакера, чья смерть, вопреки репортажам в СМИ, была вовсе не случайной.— Steam",4.0
878,Shadow Tactics: Blades of the Shogun - Aiko's Choice,"Aiko's Choice — это автономное дополнение к тактическому стелс-симулятору Shadow Tactics, действие которого происходит в Японии эпохи Эдо. Вам предстоит играть за куноити Аико — с отрядом лучших убийц она отправляется на охоту за призраками прошлого.— Steam",4.0
879,Out There,"Out There - отмеченная различными наградами космическая исследовательская игра, совместившая в себе игровой процесс в жанре ""roguelike"", управление ресурсами и интерактивное приключение— Steam",4.0
880,Timberborn,"Людей давно нет. Кто сможет жить в мире, страдающем от засухи и токсичных отходов? Может, бобры-лесорубы? Строительный симулятор-песочница с изобретательными животными, «вертикальной» архитектурой, физикой воды и терраформированием. И кучей древесины.— Steam",4.0
881,Everspace 2,"EVERSPACE 2 — это скоростной космический шутер для одного игрока. Исследуйте просторы космоса, собирайте ресурсы, улучшайте корабль и создавайте предметы. Погрузитесь в захватывающую историю, действие которой разворачивается в красочном мире ручной работы, полном загадок и опасностей.— Steam",4.0
882,Frozen Synapse,Представляет из себя синхронную пошаговую стратегию и позволяет подробно и точно руководить вашим отрядом.— Steam,4.0
883,Beholder - Blissful Sleep,"Министерство Выпуска Дополнений снимает гриф секретности с личного дела предыдущего управляющего. Пришло время рассказать историю Гектора Медины, предшественника Карла Штейна.— Steam",4.0
884,Luigi's Mansion,—,4.0
885,Arise: A Simple Story,"Отправляйтесь в эмоциональное путешествие об утрате любви всей своей жизни. Манипулируйте временем, решайте головоломки, изменяйте окружение, пробираясь через горько-сладкие воспоминания о прошлой жизни. Это история о счастье, трудностях, радости и печали.— Steam",4.0
886,Sonic X Shadow Generations,"Достойный внимания фанатов сборник, включающий в себя добротный ремастер старой игры и совершенно новую небольшую игру с участием Шэдоу. Желающим посмотреть третий фильм о Сонике желательно ознакомиться.—",4.0
887,Crow Country,"На дворе 1990-й. Прошло два года с тех пор, как Эдвард Кроу загадочно исчез, а его парк развлечений «Страна Ворон» внезапно закрылся. Но ваше появление, Мара Форест, нарушило сложившуюся тишину. Если вам нужны ответы, за ними придётся отправиться в тёмные глубины «Страны Ворон»...— Steam",4.0
888,Tiny Glade,"Tiny Glade – милая медитативная игра про строительство причудливых замков, уютных коттеджей и романтичных руин. Камешек к камешку, дощечка к дощечке – никаких битв, никакой возни с ресурсами или боязни ошибиться. Просто устройтесь поудобнее и стройте сказочные замки на заросших лугах.— Steam",4.0
889,Код доступа: РАЙ,"Отличная тактическая  стратегия от прославленных разработчиков  из MiST land. Действие игры происходит в будущем, где снова все плохо. Главный герой – молодой хакер. Однажды, путешествуя по киберпространству, он проникает в секретную зону и перехватывает странные пакеты данных. Он копирует их к себе на диск, а через некоторое время в дверь уже стучит полиция. Ему остается только бежать. Теперь он должен выяснить правду и всех вывести на чистую воду.Все сражения в игре происходят в походовом режиме, как в X-COM и Jagged Alliance 2. По ходу дела главный герой набирает очки опыта, растет в уровнях и разучивает новые навыки. В игре довольно приличная графика, а также не самые плохие сражения.—",4.0
890,Islets,"Взмывайте в небо и объедините разделенный на фрагменты мир в этой на удивление цельной метроидвании! Сопроводите Айко в путешествии по прекрасному, нарисованному от руки миру, получите письма от эксцентричных персонажей и сразитесь с могучими недругами-монстрами.— Steam",4.0
891,Aquaria,"Аквария, аркада, завоевавшая награды, позволит вам погрузиться в огромный подводный мир, заполненный различными обитателями и скрывающий древние тайны. Присоединитесь к Найе, одинокой исследовательнице морских глубин, в увлекательном путешествии по пещерам, таящимся во мгле, по красивейшим оазисам, залитым солнцем.— Steam",4.0
892,AI: The Somnium Files - Nirvana Initiative,"Великолепное продолжение одной из лучших визуальных новелл, с улучшенными геймплейными элементами и такой же захватывающей историей.—",4.0
893,Leisure Suit Larry 7: Love for Sail!,"Седьмая серия нескончаемой эпопеи о вечном победителе, несравненном ловеласе, лысеющем герое в синтетическом костюме. Ее автор, Эл Лоув, превзошел себя и создал смешной, увлекательный, безумно сложный квест.Большому кораблю – большое плаванье! Ловелас-неудачник Ларри Лаффер отправляется в круиз на лайнере, полном красивых женщин. Что из этого выйдет? Безудержный фарс, вульгарная комедия или настоящий ""Корабль Похоти""? Это зависит только от вас! Перед вами знаменитая приключенческая игра компании Sierra, признанная классикой жанра. Если вы умеете смеяться, то смело поднимайтесь на борт ""Озабоченного"" вместе с Ларри.—",4.0
894,Warhammer: Dark Omen,Перенеситесь во вселенную Warhammer Fantasy благодаря Warhammer: Dark Omen — культовой стратегии в реальном времени с увлекательными тактическими сражениями и атмосферной сюжетной кампанией.— Steam,4.0
895,Citizen Sleeper,"Вы – беглый рабочий на нелегальной космической станции. Исследуйте ее, заводите друзей, разбирайтесь с собственным прошлым и стройте будущее в новой ролевой игре в жанре TTRPG. На обломках межпланетного капитализма напишут наши имена!— Steam",4.0
896,Coffee Talk Episode 2: Hibiscus & Butterfly,Смахните пыль с кофемашины и снова встречайте клиентов самой теплой улыбкой во втором эпизоде всеми любимого симулятора варки кофе и разговоров по душам Coffee Talk Episode 2: Hibiscus and Butterfly.— Steam,4.0
897,Song of Nunu: A League of Legends Story,"Двое лучших друзей, одно безумное приключение. Присоединяйтесь к Нуну и Виллумпу — закадычным друзьям, путешествующим по просторам Фрельйорда. В странствии по прекрасным, но коварным землям мальчик и йети все теснее привязываются друг к другу. Вместе они обретают новых союзников и противников.— Steam",4.0
898,The Guild 2: Renaissance,"На протяжении многих веков вся Европа находилась под властью церкви и феодалов. Богатство и власть благородных господ и слуг божьих были созданы потом и кровью простых людей. Таков тогда был порядок, не обсуждаемый, освященный богом и временем. Темные века...Но в XIV веке устоявшийся порядок стал изменяться.— Steam",4.0
899,Diplomacy is Not an Option,"“Diplomacy is Not an Option” - это стратегия в мире средневекового фэнтези. Стройте города, окружайте их оборонительными сооружениями, вооружайте огромные армии и уничтожайте несметные орды врагов. Как долго вы сможете выживать?— Steam",4.0
900,Kingdom Rush: Vengeance,"Настало время расплаты! Возглавьте мощную темную армию, и пусть Королевство трепещет от каждого вашего шага! Сразитесь со свирепыми врагами и величайшими боссами. Найдите самые смертоносные комбинации из могучих башен и осадных орудий. Обучайте легендарных героев и ведите их к победе!— Steam",4.0
901,Fear Effect 2: Retro Helix,Страх вернулся— Steam,4.0
902,Cities: Skylines - Snowfall,В Snowfall ваши города припорошит снег или вымоет дождь. Новая динамическая система погоды создаст дополнительные сложности для муниципальных служб в холодное время года.— Steam,4.0
903,Cities: Skylines - Natural Disasters,"В дополнении Natural Disasters представлено множество катастроф, которые бросят вызов вашим навыкам градостроителя. Планируйте пути эвакуации жителей, размещайте системы оповещения, будьте готовы ликвидировать последствия катаклизмов и заботиться о горожанах, пока те пытаются заново отстроить город.— Steam",4.0
904,The Last Spell,"Защитите последний бастион человечества вместе с вашим отрядом героев! Уничтожайте злобных чудовищ с помощью магии и грубой силы ночью, а днём восстанавливайте разрушенную городскую оборону ​​в этой тактической ролевой игре с механикой rogue-lite.— Steam",4.0
905,Tomb Raider IV-VI Remastered,"Ее наследие живо! Отправляйтесь в приключения с обновленными играми из серии Tomb Raider, собранными в коллекцию Darkness Trilogy.— Steam",4.0
906,Granblue Fantasy: Relink,"Зрелищный ролевой экшен по вселенной Granblue Fantasy, который, к сожалению, демонстрирует лишь зачатки полноценной RPG.—",4.0
907,Street Legal Racing: Redline,"Легендарный симулятор автомеханика обрёл вторую жизнь в версии для Steam! Собирайте машины, тюнингуйте их, разбивайте, ремонтируйте и соревнуйтесь в гоночных заездах против других гонщиков!— Steam",4.0
908,X4: Foundations,"Исследуй звезды, веди торговлю, участвуй в сражениях, строй станции, покупай и оснащай корабли, командуй флотами в живой, полностью симулированной вселенной, которая реагирует на каждое твое решение.— Steam",4.0
909,BlazBlue: Entropy Effect,Насладись напряженными и яркими боями с невероятными комбо-приемами и максимально удобным управлением! Множество персонажей — каждый со своим собственным уникальным стилем игры — и огромное количество открываемых приемов и улучшений! Этот экшн задает новую планку для своего жанра!— Steam,4.0
910,The friends of Ringo Ishikawa,Лидер школьной банды Ринго Ишикава проживает последние осенние деньки перед выпуском. С друзьями.— Steam,4.0
911,Звездные волки 2: Гражданская война,"Масштабные битвы остались позади. Космос поделили между собой несколько враждующих фракций. В межпланетном пространстве царят произвол и анархия, процветает черный рынок, где идет торговля техникой и оружием, — Галактика превратилась в действительно опасное место.— Steam",4.0
912,UFO: Aftershock,"Год 2054. 50 страшных долгих лет прошло с тех пор, как в результате Катастрофы поверхность Земли стала полностью необитаемой. Спасая свои жизни, остатки населения укрылись в парящей над планетой колонии «Лапута».— Steam",4.0
913,Sins of a Solar Empire,"В Sins of a Solar Empire: Trinity вы — лидер цивилизации, втянутой в галактическую войну и пытающейся выжить в борьбе с неумолимыми противниками.— Steam",4.0
914,Titan Quest II,"Немезида, богиня возмездия, потеряла рассудок. Она заражает нити судьбы порчей и карает всех, кто смеет ей помешать. Возьмите в руки оружие, встаньте бок о бок с богами и измените свою судьбу в Titan Quest II – экшен-RPG по мотивам греческой мифологии.— Steam",4.0
915,Dragon Ball FighterZ,"В DRAGON BALL FIGHTERZ есть зрелищные бои и могучие воины. Созданная совместно с Arc System Works, DRAGON BALL FIGHTERZ — это безупречная графика в стиле аниме и сложный, но понятный игровой процесс.— Steam",4.0
916,Stasis: Bone Totem,"Погрузитесь в увлекательное подводное приключение в классическом жанре point-and-click. Исследуйте игровой мир в роли трех персонажей одновременно. Перенеситесь в таинственный мир BONE TOTEM, скрытый глубоко под поверхностью волн, благодаря атмосферной изометрической графике...— Steam",4.0
917,Ghost 1.0,"Таинственный агент, способный становиться цифровым призраком, тайно проникает на космическую станцию Накамура. Но станция не лыком шита. Что ж, тем лучше для нас, ведь это повод как следует повеселиться, взрывая всё на своём пути, усеянном бесчисленным множеством артефактов и оружия с бесконечным боезапасом.— Steam",4.0
918,Heaven Dust II,"Своеобразный клон Resident Evil, который выглядит несколько по-детски, а вот играется очень даже по-взрослому, радуя и сочным экшеном, и обилием головоломок.—",4.0
919,Mutant Year Zero: Seed of Evil,"Seed of Evil  — это дополнение к приключенческой, полюбившейся многим игре с тактическими боями Mutant Year Zero: Road to Eden. В продолжении оригинальной игры вы познакомитесь с новым героем и сможете часами бродить в неведомых краях.— Steam",4.0
920,Knock on the Coffin Lid,"Расследуй историю своей собственной смерти, найди способы выбраться из временной петли, выбери героя, который взойдет на престол и будет править Северными вратами! Только от тебя зависит, кому жить, а какой народ будет стерт с лица земли Мидиана.— Steam",4.0
921,Kunitsu-Gami: Path of the Goddess,"Необычный эксперимент от Capcom — смесь экшена и tower defense, навеянная японской мифологией. Игра неидеальная, но заслуживает внимания.—",4.0
922,The Lab,"Добро пожаловать в The Lab — сборник VR-экспериментов Valve, действие которых происходит в карманной вселенной внутри Aperture Science. Почините робота, защитите замок, приручите механического пса и не только — причём бесплатно!— Steam",4.0
923,SpellForce 3: Fallen God,"Возглавьте племя троллей в беспримерном походе по диким землям Ургата. Судьба ваших соплеменников, измученных болезнями и вынужденных спасаться бегством от браконьеров, отныне в ваших руках.— Steam",4.0
924,Knock Harder,Единственный способ проснуться - умереть. Игрок должен понять сам: находится он во сне или в реальности.— Steam,4.0
925,Dead in Vinland,"DEAD IN VINLAND - это игра с элементами выживания и управления поселением, с щепоткой РПГ и приключений о семье викингов, пытающихся сделать всё, чтобы выжить на странном острове.— Steam",4.0
926,Swords & Souls: Neverseen,"Swords & Souls: Neverseen — это уникальная RPG, в которой повышение уровня требует мастерства! Создавайте персонажа, обучайте его и повышайте уровень, исследуя остров Неверсин и его эксцентричных жителей, а также сражаясь со злом, чтобы расстроить планы злой ведьмы!— Steam",4.0
927,Tangle Tower,"Раскройте захватывающую тайну, исследуя странный и таинственный особняк, находя любопытные подсказки, допрашивая эксцентричных подозреваемых и решая уникальные головоломки. Удастся ли вам раскрыть все секреты Путаной башни?— Steam",4.0
928,Act of War: High Treason,"Крайне ожидаемый сиквел к одобренной критиками игре Act of War: Direct Action продолжает, где техно-триллер остановился. Накануне Президентских выборов США, одновременные нападения террористов поражают обоих кандидатов.— Steam",4.0
929,Figment 2: Creed Valley,"Figment 2: Creed Valley — игра с элементами квеста и экшена, действие которой происходит в человеческом разуме, охваченном кошмарами. Отправляйся в путь вместе с Дасти, воплощением храбрости Разума. Тебя ждут головоломки, уникальные локации и музыкальные схватки с боссами. Брось вызов своим страхам!— Steam",4.0
930,True Fear: Forsaken Souls - Part 1,"""True Fear: Forsaken Souls” берет лучшее из арсенала психологического триллера. Кинематографические пассажи, загадки и сцены с поиском объектов проработаны с высочайшей тщательностью и погружены в мрачную атмосферу. Это первая часть трилогии.— Steam",4.0
931,Sky Force Reloaded,"Sky Force Reloaded – это классическая стрелялка с шикарной графикой и великолепным геймплеем. Кровавые взрывы, красивые пейзажи и мощные боссы в режиме одиночной игры или локальном кооперативном режиме.— Steam",4.0
932,Дальнобойщики: Транспортная компания,Пройдите путь от начинающего бизнесмена до магната индустрии грузоперевозок!— Steam,4.0
933,LISA the Joyful,Финал серии LISA. Заявите о себе и завоюйте своё место под солнцем.— Steam,4.0
934,The Battle for Wesnoth,Битва за Веснот — свободно распространяемая (полностью бесплатная) пошаговая стратегия в жанре эпического фэнтези. Откройте для себя мир Ирдии в бесчисленных приключениях семнадцати одиночных кампаний и десятков многопользовательских карт.— Steam,4.0
935,Freedom Wars,"С рождения вы приговорены к заключению длиной миллион лет. Право на свободу вы заслужите, лишь выполняя смертельно опасные задания. Сгнить в тюрьме или прожить жизнь на поле боя — выбор за вами.— Steam",4.0
936,Amerzone: The Explorer's Legacy (2025),"Отправьтесь на поиски больших белых птиц в загадочном краю Ответьте на зов приключений: отправьтесь в затерянную страну под названием Amerzone, что находится в Латинской Америке, и исполните последнее желание покойного исследователя.— Steam",4.0
937,Friends vs Friends,"Захватывающий сетевой PvP-шутер, сочетающий составление колоды карт с огненными перестрелками. Выбирайте персонажа, собирайте колоду из способностей и оружия и готовьтесь к бою!— Steam",4.0
938,Tales from Space: Mutant Blobs Attack,"Мегаплатформер-головоломка! Мелкий блоб растет и пожирает города! 24 уровня одиночной кампании, плюс пять бонусных уровней с видом сверху. Дикое коварство и многообразие!— Steam",4.0
939,Edna & Harvey: The Breakout - Anniversary Edition,"Эдна и Харви возвращаются! Вас ждет необычная культовая игра — отмеченное наградами приключение с графикой в высоком разрешении, новой технологией, интуитивно понятным управлением. Мир Эдны и Харви стал еще интереснее!— Steam",4.0
940,"Please, Touch the Artwork 2","Раскрашенное вручную уютное приключение в жанре поиска предметов. Путешествуйте по сюрреалистическим картинам. Собирайте предметы для их причудливых обитателей. Ремонтируйте разрывы и решайте случайные головоломки. Эта игра короткая, но на 100% БЕСПЛАТНАЯ (без рекламы и дополнений).— Steam",4.0
941,Ready or Not: Home Invasion,"Лос-Суэнос — ЧРЕЗВЫЧАЙНОЕ ПОЛОЖЕНИЕ: глава полиции Лос-Суэноса Гало Альварес выходит в эфир в связи с состоянием города после урагана «Антонио» категории 5. Случаи мародерства участились, в рамках реагирования на стихийное бедствие подключен спецназ.— Steam",4.0
942,SteamWorld Heist: The Outsider,"Капитан Пайпер находит нового союзника, чье прошлое окутано тайной. Новые задания, новое оружие, и больше шляп, чем вы сможете перемерить - все это ждет вас!— Steam",4.0
943,Warhammer: Vermintide 2 - Back to Ubersreik,"Во втором загружаемом дополнении к игре Warhammer: Vermintide 2 вы перенесетесь вновь туда, где все и началось, — в Убершрейк. Обнаружив таинственный предмет, Олеся отправляет героев назад в Убершрейк, чтобы разузнать что-то о находке и обнаружить ее связь с прошлым.— Steam",4.0
944,A Castle Full of Cats,"Замок, полный кошек – это игра со скрытыми предметами в жанре «catvania hidden object», в которой вам нужно найти всех проклятых кошек в замке. Спасите каждого кота и высвободите силу любви! ♥— Steam",4.0
945,Epic Battle Fantasy 5,"Пошаговая РПГ, полная отсылок к видеоиграм, ребяческого юмора и анимешного фансервиса... ну и тактических боев, ловли монстров и нескончаемых поисков сокровищ!— Steam",4.0
946,Fuga: Melodies of Steel,"Fuga: Melodies of Steel — ролевая игра, в которой вы сажаете в орудийные башни танка детей с уникальными способностями и с их помощью сражаетесь с врагами.— Steam",4.0
947,Karryn's Prison,"Управляйте самоуверенной и сексуальной Карин, новой начальницы в печально известной мужской тюрьме. Вы сможете контролировать тюрьму и заключённых, но сможете ли вы контролировать постоянно растущие желания Карин? Окунитесь в настоящую RPG для взрослых!— Steam",4.0
948,An Arcade Full of Cats,"Путешествуйте сквозь время и пространство истории игр, ища очаровательных кошачьих компаньонов в An Arcade Full of Cats — лучшей игре в жанре ""ищи и находи предметы"".— Steam",4.0
949,Stellaris: Utopia,"Звезды звали вас на протяжении тысячелетий, и теперь вы рядом с ними. Вашему виду открывается целая вселенная возможностей, как только вы начинаете делать свои первые робкие шаги к великому неизведанному. Теперь вы можете оставить далеко позади себя политические распри своей родной планеты. Здесь вы можете построить что-то новое.— Steam",4.0
950,Wolfstride,"Осторожно! Об эту кидалт-RPG про троих раздолбаев, решивших выиграть чемпионат по боям роботов, так легко крашнуться! Чини доставшуюся твоей команде гору хлама, подрабатывай, чтобы расплатиться за запчасти, сражайся с тру-чемпионами и реши все проблемы своих героев.— Steam",4.0
951,Patrick’s Parabox,"Игра с ошеломительными рекурсивными головоломками о коробках внутри коробок внутри коробок внутри коробок. Научитесь использовать бесконечность, исследуя сложную и изящную систему.— Steam",4.0
952,TheoTown,Стройте и управляйте своим мечтой городом в этой увлекательной симуляционной игре. Создавайте уникальные городские пейзажи и наслаждайтесь совместимостью с мобильными версиями. Разблокируйте своё творчество и формируйте мегаполис своей мечты.— Steam,4.0
953,True Fear: Forsaken Souls - Part 3,"True Fear: Forsaken Souls Part 3 - заключительная глава трилогии психологического триллера. Благодаря механике point-and-click, сложным головоломкам и кинематографическим вставкам, погрузитесь в мрачную атмосферу ужаса, которая переосмысливает жанр.— Steam",4.0
954,Safecracker: The Ultimate Puzzle Adventure,"Дункан У. Адамс был заядлым коллекционером сейфов и, мягко говоря, «эксцентриком». Адамс спрятал документы на свое огромное состояние в одном из 35 сейфов. Вы должны взломать их все, используя подсказки, разбросанные по его экстравагантному особняку.— Steam",4.0
955,Nova Drift,"Nova Drift объединяет разнообразие и глубину механик современных ARPG в формате классического аркадного космо-шутера. Управляя непрерывно эволюционирующим биомеханическим кораблем и сражаясь с тысячами смертоносных врагов, пронеситесь сквозь бездну на хвосте умирающей звезды.— Steam",4.0
956,Children of Morta: Ancient Spirits,"Ancient Spirits — новое дополнение для Children of Morta, которое добавляет в игру нового игрового персонажа, а также облики и реликвии.— Steam",4.0
957,CARIMARA: Beneath the forlorn limbs,"Немое создание, одарённое магией, что взята взаймы. Дом, тихо нашёптывающий ответы. Спросишь не то и потревожишь сущность, что помнит твоё имя.— Steam",4.0
958,Tardy,"Tardy – квест, посвященный возне с самыми разными компьютерами, терминалами, гаджетами и прочим высокотехнологичным хламом. Вникните в работу долбанутых механизмов, раскройте тайну исчезновения экипажа и помогите герою вернуться домой!— Steam",4.0
959,Milo and the Magpies,"Майло и Сороки — это рисованная игра с головоломками и поиском предметов, трогательная история котика по имени Майло, который пытается найти дорогу домой после неприятной разборки с вредными сороками.— Steam",4.0
960,SEUM: Speedrunners from Hell,"SEUM: Speedrunners from Hell - единственный в мире состязательный платформер от первого лица в стиле хеви-метал. В этой смертельной гонке опасность поджидает за каждым углом, а ваш главный противник – время. Телепортируйтесь, прыгайте, парите, отскакивайте и падайте на сотне арен, чтобы получить главный приз: свою душу (и пиво)!— Steam",4.0
961,Death Howl,"Отправляйтесь в мрачный мир духов в этой карточной игре с открытым миром. Создавайте колоды из более чем 160 карт, собирайте мощные тотемы и побеждайте врагов в тактических боях. Сражайтесь в роли отчаявшейся охотницы Ро, чтобы вернуть ее сына из загробного мира.— Steam",4.0
962,The House of Da Vinci 3,"Вы играете за Джакомо, ученика и друга Леонардо да Винчи. Отыщите скрытые тайны, решайте продуманные механические загадки и путешествуйте в пространстве и времени, чтобы узреть грандиозный финал этой истории.— Steam",4.0
963,Strike Force Heroes,"Strike Force Heroes — олдскульный арена-шутер с современными механиками, кооперативом и PvP-онлайн мультиплеером. Ремейк популярной флэш-игры с эпической историей и ураганным геймплеем.— Steam",4.0
964,Stellaris: Apocalypse,"Stellaris: Apocalypse является полноценным дополнением, в котором всем игрокам предоставляется множество новых наступательных и оборонительных возможностей. Уничтожайте целые миры вместе с планетами с помощью нового устрашающего оружия, сражайтесь с безжалостными космическими пиратами (или на их стороне) и откройте новые мирные...— Steam",4.0
965,Agatha Christie - Death on the Nile (2025),"В игре «Смерть на Ниле» мирный круиз по Нилу прерывается из-за ужасного преступления. К счастью, на борту находится знаменитый детектив Эркюль Пуаро. Тем временем другой детектив выслеживает убийцу, следы которого тянутся из Лондона на Майорку, затем в Нью-Йорк и, наконец, тоже ведут в Египет. Два расследования пересекаются в Абу-Симбеле, где непохожим друг на друга героям предстоит раскрыть сложное и полное сюрпризов дело. Эта история не заканчивается вместе с книгой, — она подарит ещё много загадок и поворотов сюжета, способных удивить даже поклонников Агаты Кристи.—",4.0
966,Suzerain,"В роли президента Рейна вам предстоит встать у руля государства Сордленд (Sordland). Окунитесь в пучину политических интриг, общайтесь с министрами и другими значимыми личностями, боритесь с коррупцией или поощряйте ее, формируйте идеалы нации. Каким будет ваше правление?— Steam",4.0
967,Dynopunk,"Ироничное приключение в эстетике киберпанка в мире, где место людей заняли динозавры. Станьте первоклассным инженером в ремонтной мастерской: чините технику, ищите подход к разным клиентам, беседуя с ними по душам и угощая напитками.— Steam",4.0
968,Stormworks: Build and Rescue,"Присоединитесь к миру, где вы управляете собственной поисково-спасательной службой, моделируя и создавая транспортные средства. Сражайтесь с яростными бурями и спасайте нуждающихся в вашей помощи. Stormworks: Build and Rescue - это богатая и эффектная песочница.— Steam",4.0
969,ROOT [Board Game],Компьютерная настольная игра о лесной войне.— Steam,4.0
970,Helheim Hassle,"«Переполох в Хельхейме» — это приключенческая игра с увлекательным сюжетом и элементами пазл-платформера. Сыграйте за Бьорна, викинга-пацифиста, который может отсоединять и присоединять свои конечности по желанию, чтобы решать непростые и интересные головоломки и выбираться из неудобных ситуаций с участием скандинавских богов, гоблинов,...— Steam",4.0
971,Cataclysm: Dark Days Ahead,"Ката теперь в Steam! Воплощение современного подхода к традиционным рогаликам: с классическим пошаговым режимом, детальной проработкой предметов, глубокой системой развития навыков и непревзойденной симуляцией транспорта в огромном открытом мире.— Steam",4.0
972,Artis Impact,"Artis Impact —насыщенная сюжетом пиксельная JRPG с классическими пошаговыми боями. Игроки возьмут на себя роль Аканы и объединятся с её ИИ спутником, чтобы разгадать тайны постапокалиптического мира. Исследуйте уникальные локации, улучшайте дом и развивайте свои навыки.— Steam",4.0
973,GetsuFumaDen: Undying Moon,"Смерть — ещё не конец: побеждайте дьявольских врагов, пока не умрете, после чего ваша бессмертная душа и воспоминания перенесутся в новое тело!— Steam",4.0
974,Shotgun Cop Man,СПУСТИТЕСЬ В АД И АРЕСТУЙТЕ ДЬЯВОЛА. Приготовьтесь вершить правосудие и заслуживать славу в зажигательном и бойком платформере на точность от создателей игры My Friend Pedro.— Steam,4.0
975,Golden Idol Investigations: The Sins of New Wells,"Вместе с детективом Роем Самсоном расследуйте четыре новых дела и разделайтесь с преступным синдикатом, отравляющим жизнь в городе. В игре The Sins of New Wells вы будете иметь дело с наркотиками, смертями и древней лемурийской магией— Steam",4.0
